document_id,document_source,document_url,category,umls_cui,umls_semantic_types,umls_semantic_group,synonyms,question_id,question_focus,question_type,question,answer
0000587,GHR,https://ghr.nlm.nih.gov/condition/leber-congenital-amaurosis,,C0339527,T047,Disorders,"amaurosis, Leber congenital|congenital amaurosis of retinal origin|congenital retinal blindness|CRB|dysgenesis neuroepithelialis retinae|hereditary epithelial dysplasia of retina|hereditary retinal aplasia|heredoretinopathia congenitalis|LCA|Leber abiotrophy|Leber congenital tapetoretinal degeneration|Leber's amaurosis",0000587-5,Leber congenital amaurosis,treatment,What are the treatments for Leber congenital amaurosis ?,These resources address the diagnosis or management of Leber congenital amaurosis:  - Gene Review: Gene Review: Leber Congenital Amaurosis  - Genetic Testing Registry: Leber congenital amaurosis 1  - Genetic Testing Registry: Leber congenital amaurosis 10  - Genetic Testing Registry: Leber congenital amaurosis 12  - Genetic Testing Registry: Leber congenital amaurosis 13  - Genetic Testing Registry: Leber congenital amaurosis 14  - Genetic Testing Registry: Leber congenital amaurosis 2  - Genetic Testing Registry: Leber congenital amaurosis 3  - Genetic Testing Registry: Leber congenital amaurosis 4  - Genetic Testing Registry: Leber congenital amaurosis 5  - Genetic Testing Registry: Leber congenital amaurosis 9  - Genetic Testing Registry: Leber's amaurosis  - National Eye Institute: Gene Therapy for Leber Congenital Amaurosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care
0000131,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/digestive-diseases/lactose-intolerance/Pages/ez.aspx,,C0022951,T047,Disorders,,0000131-2,What I need to know about Lactose Intolerance,information,What is (are) What I need to know about Lactose Intolerance ?,"Lactose intolerance means you have symptoms such as bloating, diarrhea, and gas after you have milk or milk products.
                
If your small intestine does not produce much lactase, you cannot break down much lactose. Lactose that does not break down goes to your colon. The colon is an organ that absorbs water from stool and changes it from a liquid to a solid form. In your colon, bacteria that normally live in the colon break down the lactose and create fluid and gas, causing you to have symptoms.
                
The causes of low lactase in your small intestine can include the following:
                
- In some people, the small intestine makes less lactase starting at about age 2, which may lead to symptoms of lactose intolerance. Other people start to have symptoms later, when they are teenagers or adults.  - Infection, disease, or other problems that harm the small intestine can cause low lactase levels. Low lactase levels can cause you to become lactose intolerant until your small intestine heals.  - Being born early may cause babies to be lactose intolerant for a short time after they are born.  - In a rare form of lactose intolerance, the small intestine produces little or no lactase enzyme from birth.
                
Not all people with low lactase levels have symptoms. If you have symptoms, you are lactose intolerant.
                
Most people who are lactose intolerant can have some milk or milk products and not have symptoms. The amount of lactose that causes symptoms is different from person to person.
                

                
People sometimes confuse lactose intolerance with a milk allergy. While lactose intolerance is a digestive problem, a milk allergy is a reaction by the bodys immune system to one or more milk proteins. If you have a milk allergy, having even a small amount of milk or milk product can be life threatening. A milk allergy most commonly occurs in the first year of life. Lactose intolerance occurs more often during the teen years or adulthood."
0000137,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/kidney-disease/analgesic-nephropathy-painkillers-and-the-kidneys/Pages/facts.aspx,,C0149938,T046,Disorders,,0000137-3,Analgesic Nephropathy (Painkillers and the Kidneys),treatment,What are the treatments for Analgesic Nephropathy (Painkillers and the Kidneys) ?,"If you have been taking analgesics regularly to control chronic pain, you may be advised to find new ways to treat your pain, such as behavior modification or relaxation techniques. Depending on how much your kidney function has declined, you may be advised to change your diet, limit the fluids you drink, or take medications to avoid anemia and bone problems caused by kidney disease. Your doctor will monitor your kidney function with regular urine and blood tests."
0000142,NINDS,http://www.ninds.nih.gov/disorders/nbia/nbia.htm,,C0027746,T049,Disorders,,0000142-4,Neurodegeneration with Brain Iron Accumulation,research,what research (or clinical trials) is being done for Neurodegeneration with Brain Iron Accumulation ?,"The mission of the National Institute of Neurological Disorders and Stroke (NINDS) is to seek fundamental knowledge about the brain and nervous system, and to use that knowledge to reduce the burden of neurological disease. NINDS-funded researchers are developing a mouse model of an NBIA disorder to gain insight into the causes of the disease and accelerate ongoing efforts to identify therapeutics to treat it.."
0000055,NIDDK,http://www.niddk.nih.gov/health-information/health-topics/Diabetes/prevent-diabetes-problems/Pages/keep-eyes-healthy.aspx,,C0011860|C0011849,T047,Disorders,,0000055-3,Prevent diabetes problems: Keep your eyes healthy,symptoms,What are the symptoms of Prevent diabetes problems: Keep your eyes healthy ?,"Often, no symptoms appear during the early stages of diabetes retina problems. As retina problems worsen, your symptoms might include
                
- blurry or double vision  - rings, flashing lights, or blank spots in your vision  - dark or floating spots in your vision  - pain or pressure in one or both of your eyes  - trouble seeing things out of the corners of your eyes"
0004893,GARD,https://rarediseases.info.nih.gov/gard/4369/pinheiro-freire-maia-miranda-syndrome,,C2931485,T047,Disorders,Trichodermodysplasia with dental alterations,0004893-1,Pinheiro Freire-Maia Miranda syndrome,symptoms,What are the symptoms of Pinheiro Freire-Maia Miranda syndrome ?,"What are the signs and symptoms of Pinheiro Freire-Maia Miranda syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Pinheiro Freire-Maia Miranda syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal hair quantity 90% Abnormality of dental morphology 90% Abnormality of the eyelashes 90% Fine hair 90% Reduced number of teeth 90% Delayed eruption of teeth 50% Hyperlordosis 50% Increased number of teeth 50% Palmoplantar keratoderma 50% Scoliosis 50% Sparse lateral eyebrow 50% Abnormality of female internal genitalia 7.5% Abnormality of the hip bone 7.5% Adenoma sebaceum 7.5% Cafe-au-lait spot 7.5% Hypermetropia 7.5% The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common."
0000035,MPlusHealthTopics,https://www.nlm.nih.gov/medlineplus/anesthesia.html,Disease,C2219802,T033,Disorders,,0000035-1,Anesthesia,information,What is (are) Anesthesia ?,"If you are having surgery, your doctor will give you medicine called an anesthetic. Anesthetics reduce or prevent pain. There are three main types:       - Local - numbs one small area of the body. You stay awake and alert.    - Regional - blocks pain in an area of the body, such an arm or leg. A common type is epidural anesthesia, which is often used during childbirth.    - General - makes you unconscious. You do not feel any pain, and you do not remember the procedure afterwards.       You may also get a mild sedative to relax you. You stay awake but may not remember the procedure afterwards. Sedation can be used with or without anesthesia.    The type of anesthesia or sedation you get depends on many factors. They include the procedure you are having and your current health."
0000157,GHR,https://ghr.nlm.nih.gov/condition/cartilage-hair-hypoplasia,,C0220748,T019|T047,Disorders,"cartilage-hair syndrome|CHH|McKusick's metaphyseal chondrodysplasia syndrome|metaphyseal chondrodysplasia, McKusick type|metaphyseal chondrodysplasia, recessive type",0000157-2,cartilage-hair hypoplasia,frequency,How many people are affected by cartilage-hair hypoplasia ?,"Cartilage-hair hypoplasia occurs most often in the Old Order Amish population, where it affects about 1 in 1,300 newborns. In people of Finnish descent, its incidence is approximately 1 in 20,000. Outside of these populations, the condition is rare, and its specific incidence is not known. It has been reported in individuals of European and Japanese descent."
0001416,GARD,https://rarediseases.info.nih.gov/gard/6131/cold-urticaria,,C0221207,T047,Disorders,Cold contact urticaria|Primary idiopathic cold urticaria|Urticaria idiopathic cold,0001416-4,Cold urticaria,inheritance,Is Cold urticaria inherited ?,Is cold urticaria inherited? Cold urticaria is not thought to be inherited. Most cases occur sporadically in people with no family history of the condition.
0000078,NINDS,http://www.ninds.nih.gov/disorders/postural_tachycardia_syndrome/postural_tachycardia_syndrome.htm,,C1299624|C3827868|C0039231,T047|T033|T184,Disorders,,0000078-3,Postural Tachycardia Syndrome,outlook,What is the outlook for Postural Tachycardia Syndrome ?,"POTS may follow a relapsing-remitting course, in which symptoms come and go, for years. In most cases (approximately 80 percent), an individual with POTS improves to some degree and becomes functional, although some residual symptoms are common."
